op_name,delta_shared,n_correct,delta_vec4
100_ConvTranspose3d_Clamp_Min_Divide,-0.0009630438286245546,41,0.0009630438286245546
100_HingeLoss,-0.46260096132755324,51,0.336437062783675
10_3D_tensor_matrix_multiplication,0.0736477378159212,39,-0.0102636486948256
10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh,0.04021989389116376,37,3.1202175903698084
10_ResNet101,-0.02414760766734192,32,-0.06576949520140885
11_4D_tensor_matrix_multiplication,-0.00024485041302491073,41,-0.151051687700948
11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm,0.12707201722166483,27,-1.1023850380619868
11_VGG16,-0.01273454918548167,32,-0.9249339672873256
12_Gemm_Multiply_LeakyReLU,0.1481626192684049,52,0.1513044971641324
12_Matmul_with_diagonal_matrices_,-2.0860223841846377,70,15.328899655299836
12_VGG19,-0.15416401807375496,28,0.5945842308483241
13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling,-14.79688435792923,55,0.0
13_DenseNet121TransitionLayer,0.001107022092073029,49,0.011214604865930844
13_Matmul_for_symmetric_matrices,0.1757946256889684,53,0.25009459853628435
14_DenseNet121DenseBlock,0.00026951916062945003,41,-0.05559498128534224
14_Gemm_Divide_Sum_Scaling,0.5610978437794583,43,0.0
14_Matmul_for_upper_triangular_matrices,-0.17202639832394145,45,0.07848260972249366
15_ConvTranspose3d_BatchNorm_Subtract,-0.07848822768470842,39,4.5358707067566506e-05
15_DenseNet121,-0.006860486298944535,35,-0.007735028120271492
15_Matmul_for_lower_triangular_matrices,0.21440990845672847,200,0.7894113362309001
16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling,0.20950499732125993,42,0.8668361152323862
16_DenseNet201,-0.004780929640147535,26,-0.9993313317977558
16_Matmul_with_transposed_A,0.03322921698611045,47,0.013642667789336732
17_Conv2d_InstanceNorm_Divide,1.116335391998291,40,-1.116335391998291
17_Matmul_with_transposed_B,0.027809439769655095,44,-0.1132895023916357
17_SqueezeNetFireModule,-0.01651354957000739,40,0.0990324546746224
18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp,1.5448387712240237,43,-12.358710169792175
18_Matmul_with_transposed_both,0.026523800737435294,44,-0.14049712184372787
18_SqueezeNet,0.09576635882722284,42,0.18362895209004249
19_ConvTranspose2d_GELU_GroupNorm,0.08522266203062023,17,0.054551825969623824
19_MobileNetV1,0.0041288713733445,39,0.0011754477843084477
19_ReLU,0.0,53,0.0
1_Conv2D_ReLU_BiasAdd,-0.5266310941231878,37,-0.9075728606204596
1_MLP,0.1303197260280735,48,-0.4747361448165533
1_Square_matrix_multiplication_,0.2069787545618911,47,-0.05201006653316609
20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd,-0.012577104741211986,56,0.14900806300208203
20_LeakyReLU,0.0,59,0.0
21_Conv2d_Add_Scale_Sigmoid_GroupNorm,0.4052226102984222,50,-0.1791911811669098
21_Sigmoid,0.0,61,0.0
22_EfficientNetB0,-0.010748885190493551,27,-1.4246689273640556
22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish,0.690263757165873,38,0.06419863812926652
22_Tanh,0.0,53,0.0
23_Conv3d_GroupNorm_Mean,22.489494085311875,49,0.0
23_EfficientNetB1,-0.0023619554713489865,19,-1.148474245847202
23_Softmax,0.689354451263652,45,0.3027414965132873
24_Conv3d_Min_Softmax,-0.3490513745529169,36,-0.5109229065741273
24_EfficientNetB2,0.1101219561704676,22,-0.233561648115729
24_LogSoftmax,0.6700792000629008,38,0.30458145457404584
25_Conv2d_Min_Tanh_Tanh,0.13783511238500523,46,-0.11880446902730246
25_ShuffleNetUnit,-0.006010258100674903,38,-0.003528717246165547
25_Swish,0.0,53,0.0
26_ConvTranspose3d_Add_HardSwish,-0.026572187790018686,49,0.03335505558961582
26_GELU_,0.0,48,0.0
27_Conv3d_HardSwish_ReLU_Softmax_Mean,-0.10487772124692718,45,-1.1983125440536009
27_RegNet,-0.000839821054283707,34,0.003370942707975222
27_SELU_,0.0,58,0.0
28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply,2.916520150999228,28,0.5833040301998458
28_HardSigmoid,0.0,54,0.0
29_Matmul_Mish_Mish,0.0,36,-2.4655772236002473
29_Softplus,0.0,52,0.0
2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide,-0.011693890125687556,65,0.0906975392274807
2_ShallowWideMLP,0.006037833575275153,39,1.780413415587105
2_Standard_matrix_multiplication_,0.0869514879604601,44,-0.14704905760784948
30_Gemm_GroupNorm_Hardtanh,0.42891310368470015,41,-0.6980807992859163
30_Softsign,0.0,69,0.0
31_Conv2d_Min_Add_Multiply,-0.46298335708234994,45,-0.14785993685070287
31_ELU,0.0,70,0.0
32_Conv2d_Scaling_Min,-0.014183831381573198,41,-1.2198094988153094
32_HardTanh,0.0,54,0.0
33_BatchNorm,0.35318175036986965,43,0.10562028393921252
33_Gemm_Scale_BatchNorm,0.12544935998665963,41,-0.10777240471581218
33_VanillaRNN,0.0,46,0.02365606320679936
34_ConvTranspose3d_LayerNorm_GELU_Scaling,-0.0026363464666434577,49,0.020431180733385013
34_InstanceNorm,4.085448384284973,52,0.8540202837205872
34_VanillaRNNHidden,-0.8396669897308482,35,2.2396988003311193
35_Conv2d_Subtract_HardSwish_MaxPool_Mish,-0.014975255485190742,35,-1.2579214607560358
35_GroupNorm_,1.2356889039948302,48,0.14243738332803968
35_LTSM,0.009387969360116655,30,-0.008863137867378967
36_ConvTranspose2d_Min_Sum_GELU_Add,-0.01828452080149412,50,-0.03605522270984318
36_LTSMHn,-0.6965038245302391,14,-0.6965038245302391
36_RMSNorm_,-1.6565942415462769,37,-1.9160571511471745
37_FrobeniusNorm_,0.8963027837596836,56,-0.3709306120712845
37_LTSMCn,0.015455949431551153,9,0.3828411812971487
37_Matmul_Swish_Sum_GroupNorm,0.0,57,0.07216089806945458
38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply,-0.2905805017276868,36,-0.9882107582966567
38_L1Norm_,0.07424646649848343,54,0.5584349616979942
39_GRU,-1.1299527036039783,20,0.01310304728341416
39_Gemm_Scale_BatchNorm,-0.029220205164493418,32,-0.7098241619867822
39_L2Norm_,1.2165317311882973,54,0.04055105770627643
3_Batched_matrix_multiplication,0.0868540992365639,54,0.014759518098459379
3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU,0.3302225830059906,27,-0.27425177877857765
3_DeepNarrowMLP,3.946239464766496,50,-4.066587710867123
40_LayerNorm,2.4583874975593347,35,5.439122436120554
40_Matmul_Scaling_ResidualAdd,0.554187919455345,46,-1.6174587071121909
41_GRUBirectional,-1.421110577469374,1,-1.421110577469374
41_Gemm_BatchNorm_GELU_GroupNorm_Mean_ReLU,0.1937257431254697,10,0.2834298202589828
41_Max_Pooling_1D,0.0,53,-1.0142841243318148
42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply,1.8074323170878028,31,0.5456621782118534
42_GRUBidirectionalHidden,1.7808439315187754,2,-1.7808439315187754
42_Max_Pooling_2D,-0.15259240881891767,190,-0.03791997401878744
43_Conv3d_Max_LogSumExp_ReLU,-0.36944726482454116,41,0.07272651350948667
43_Max_Pooling_3D,-1.0439775322681697,42,-1.0586420228788973
43_MinGPTCausalAttention,-0.5201682789541215,77,0.6836172318463991
44_Average_Pooling_1D,0.0,54,-0.08839654869266922
44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean,0.6500604300472828,50,0.05096475075734341
44_MiniGPTBlock,-0.03312139599981401,36,0.1098620440181326
45_Average_Pooling_2D,-0.610871921210804,42,-1.7564236616887967
45_Gemm_Sigmoid_Sum_LogSumExp,-0.5156162372922708,33,-3.98557415852944
45_UNetSoftmax,-0.002720369306478232,32,-0.9813725912974478
46_Average_Pooling_3D,-1.0055038123754152,57,-0.5787986627736774
46_Conv2d_Subtract_Tanh_Subtract_AvgPool,-0.03592721877150762,53,-1.1652070952921496
46_NetVladWithGhostClusters,-0.01819238012090274,34,-1.9101999126947844
47_Conv3d_Mish_Tanh,0.014465348187726379,59,0.05918475243057153
47_NetVladNoGhostClusters,0.4169727618486383,33,-0.40119229278073076
47_Sum_reduction_over_a_dimension,-0.03370094733933615,45,-1.0110284201800823
48_Conv3d_Scaling_Tanh_Multiply_Sigmoid,-0.004677140700839466,59,0.02140578576252894
48_Mean_reduction_over_a_dimension,0.6656904368340468,46,-0.38564135651075826
49_ConvTranspose3d_Softmax_Sigmoid,-0.3016752014251205,48,-1.5202264068323812
49_Mamba2ReturnFinalState,0.04548755635158397,50,0.4503268078806695
49_Max_reduction_over_a_dimension,0.18842967291776502,49,-0.6670076917443011
4_Conv2d_Mish_Mish,-0.12278524678790537,198,-0.10723024247784729
4_LeNet5,-0.12343410223687545,46,-0.10446815705690238
4_Matrix_vector_multiplication_,0.4263208038871214,44,0.2785571163364569
50_ConvTranspose3d_Scaling_AvgPool_BiasAdd_Scaling,-0.0003982978414038829,25,-0.3406691032352508
50_Product_reduction_over_a_dimension,0.08876338232677061,52,0.5769619851240089
50_ReLUSelfAttention,0.006104098406927161,42,0.03457844382580433
51_Argmax_over_a_dimension,0.602499395608902,50,-1.0977214661197385
51_Gemm_Subtract_GlobalAvgPool_LogSumExp_GELU_ResidualAdd,0.7738060377411238,50,-0.07647734530495898
52_Argmin_over_a_dimension,0.5038199791063864,38,-1.007639958212773
52_Conv2d_Activation_BatchNorm,0.42956195071212244,48,-1.1168610718515184
53_Gemm_Scaling_Hardtanh_GELU,0.0,48,0.0
53_Min_reduction_over_a_dimension,0.6247142982947362,42,-1.3361944713526304
54_Conv2d_Multiply_LeakyReLU_GELU,-0.28105596991586457,54,-1.1224222388306653
55_Matmul_MaxPool_Sum_Scale,2.724551861839635,39,-3.7283341267279217
55_conv_standard_2D__asymmetric_input__square_kernel,0.04045134135350986,36,0.08360800584420108
56_Matmul_Sigmoid_Sum,1.9482574856080928,40,-3.3120377255337576
56_conv_standard_2D__asymmetric_input__asymmetric_kernel,-0.005420840514215597,38,-0.10938125121039005
57_Conv2d_ReLU_HardSwish,-0.3286850417376812,51,-1.4328640841302416
57_conv_transposed_2D__square_input__square_kernel,-0.009279120982015401,48,-0.0148246007025703
58_ConvTranspose3d_LogSumExp_HardSwish_Subtract_Clamp_Max,-0.9997677158665011,9,-0.9997677158665011
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel,0.07137369558387985,32,-0.0366683495229968
59_Matmul_Swish_Scaling,-0.057819015101382654,62,0.029650776975068016
5_AlexNet,-0.035121614062921636,37,-0.11026143079069461
5_ConvTranspose2d_Subtract_Tanh,0.0062491795234886904,50,-1.0248654418521457
5_Matrix_scalar_multiplication,-0.2025535385703533,62,0.2082078473885215
60_ConvTranspose3d_Swish_GroupNorm_HardSwish,0.19851139639617843,46,0.06273870751331301
60_conv_standard_3D__square_input__asymmetric_kernel,-0.0319644628068064,34,-0.1102456699571189
61_ConvTranspose3d_ReLU_GroupNorm,0.08572315708621003,23,0.2786729894530493
62_Matmul_GroupNorm_LeakyReLU_Sum,-0.6537375040352345,34,-0.09624068948993092
62_conv_standard_2D__square_input__asymmetric_kernel,0.006899947367645293,35,-0.1203781480573195
63_Gemm_ReLU_Divide,-0.023978857976780343,47,-0.057530516170678614
63_conv_standard_2D__square_input__square_kernel,0.05174509165109531,44,-0.13923658355482432
64_Gemm_LogSumExp_LeakyReLU_LeakyReLU_GELU_GELU,-0.07487301444308411,27,0.07446386555668016
64_conv_transposed_1D,-0.03557137561717427,44,-0.8351540362293071
65_Conv2d_AvgPool_Sigmoid_Sum,-0.7214496799168131,51,-1.9675900361367635
65_conv_transposed_2D__square_input__asymmetric_kernel,0.0024371759328742013,40,-0.0444266245891385
66_Matmul_Dropout_Mean_Softmax,-4.44942656904459,43,2.6966221630573273
67_Conv2d_GELU_GlobalAvgPool,0.04890415088625488,48,0.503460917722402
67_conv_standard_1D,0.0,51,-0.038759652422843294
68_Matmul_Min_Subtract,1.3788249234707037,50,1.3788249234707037
69_Conv2d_HardSwish_ReLU,-0.029698104344594523,43,0.029698104344594523
69_conv_transposed_2D__asymmetric_input__asymmetric_kernel,0.1275687360788112,35,-0.1054808630474976
6_Conv3d_Softmax_MaxPool_MaxPool,0.08043583757623662,30,-1.0250455118230477
6_GoogleNetInceptionModule,0.12453911048382516,37,0.11538836677615372
6_Matmul_with_large_K_dimension_,0.058646902770374196,27,-0.0638164495344341
70_Gemm_Sigmoid_Scaling_ResidualAdd,-0.012436403560859954,56,-0.012436403560859954
71_Conv2d_Divide_LeakyReLU,0.0,50,0.02941770338656058
71_conv_transposed_2D__asymmetric_input__square_kernel,-0.006298235355523499,34,0.9469140192999504
72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool,-0.05217309236635703,41,-1.007578736446899
72_conv_transposed_3D_asymmetric_input_asymmetric_kernel___strided_padded_grouped_,-0.23282747216007577,37,-0.5201448822223389
73_Conv2d_BatchNorm_Scaling,0.0157531843816164,16,-0.058984443260372
74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max,-0.7934614380356254,21,0.006025852907362017
74_conv_transposed_1D_dilated,-0.1990242680120795,55,-1.7912184121087191
75_Gemm_GroupNorm_Min_BiasAdd,0.9451214184257435,36,-0.1789735521832332
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__,-0.14771278840255947,49,0.014838551276705636
76_Gemm_Add_ReLU,-0.104898055621169,52,0.4069502208974019
76_conv_standard_1D_dilated_strided__,0.0,46,-1.6473854193463922
77_ConvTranspose3d_Scale_BatchNorm_GlobalAvgPool,0.028912686371376894,34,0.026097283405772442
78_ConvTranspose3d_Max_Max_Sum,0.007852461095752106,37,-0.9831281291881812
78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__,-0.03778144803415395,27,-0.0439825734298805
79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__,-0.16686854062862289,52,0.02955957005421317
7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd,-0.02900618251755227,252,0.08034787508738006
7_GoogleNetInceptionV1,-0.026108432858442,32,0.046299393785270704
7_Matmul_with_small_K_dimension_,0.042791661188288754,55,-0.021836862269900725
80_Gemm_Max_Subtract_GELU,0.8488039071185485,39,-0.13299903740584507
80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__,0.051859086087723744,49,0.09450773598384546
81_Gemm_Swish_Divide_Clamp_Tanh_Clamp,0.017004090081020662,52,0.7736860986864358
81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__,-0.0155273639261116,36,-0.0322728551357083
82_Conv2d_Tanh_Scaling_BiasAdd_Max,0.0,42,-1.2599246009536411
82_conv_depthwise_2D_square_input_square_kernel,-0.010725271959717397,56,-0.8580217567773966
83_conv_depthwise_2D_square_input_asymmetric_kernel,0.09803014496962192,48,-1.4450995508452942
84_Gemm_BatchNorm_Scaling_Softmax,0.20885685427875728,21,0.8041791617870331
84_conv_depthwise_2D_asymmetric_input_square_kernel,0.06828033842910552,38,-0.8521386235952377
85_Conv2d_GroupNorm_Scale_MaxPool_Clamp,-0.04242944976557861,32,-1.060736244139464
85_conv_depthwise_2D_asymmetric_input_asymmetric_kernel,0.08659546837952403,59,-0.18306740160963286
86_Matmul_Divide_GELU,0.14140789775217644,54,0.08968685221481654
86_conv_depthwise_separable_2D,-0.6422716304421381,31,-0.5782451135692773
87_Conv2d_Subtract_Subtract_Mish,-0.2913637574584711,47,-1.1654550298338844
87_conv_pointwise_2D,-0.2380627100289535,2,-0.2380627100289535
88_Gemm_GroupNorm_Swish_Multiply_Swish,0.0,33,-1.675272360444069
88_MinGPTNewGelu,0.0,62,0.7711473320211688
89_ConvTranspose3d_MaxPool_Softmax_Subtract_Swish_Max,-0.6609882120824395,28,-0.3560306532793427
89_cumsum,1.9297461210582334,55,-0.162300424582047
8_Conv3d_Divide_Max_GlobalAvgPool_BiasAdd_Sum,0.01486074582621777,47,-1.0556630920945551
8_Matmul_with_irregular_shapes_,-0.22324043594846638,40,0.46673851583037246
8_ResNetBasicBlock,0.008634267954235608,44,0.012074059991468156
90_Conv3d_LeakyReLU_Sum_Clamp_GELU,-0.028203710676505178,43,0.0828045312390282
90_cumprod,0.4785888318042575,35,-0.0389422939486641
91_ConvTranspose2d_Softmax_BiasAdd_Scaling_Sigmoid,-0.9520190741876307,48,-1.730480507099429
91_cumsum_reverse,0.0,28,-0.9834097905291452
92_Conv2d_GroupNorm_Tanh_HardSwish_ResidualAdd_LogSumExp,-1.3389249849226514,28,-0.26864648303679434
93_ConvTranspose2d_Add_Min_GELU_Multiply,-0.06040907650755112,50,0.06379434617899249
93_masked_cumsum,0.4078797817462797,37,-0.0357162332374777
94_Gemm_BiasAdd_Hardtanh_Mish_GroupNorm,0.3698076630271496,41,-0.18209351084778147
94_MSELoss,0.5836025105550147,61,0.06079753888223116
95_CrossEntropyLoss,-2.563851858888354,51,-8.157710460099308
95_Matmul_Add_Swish_Tanh_GELU_Hardtanh,0.7503474634857776,52,0.2026118267150152
96_ConvTranspose3d_Multiply_Max_GlobalAvgPool_Clamp,1.0479127053642454,34,-0.031707038724487324
96_HuberLoss,0.45899603388864874,60,0.12239894237030646
97_CosineSimilarityLoss,0.6824235564896037,58,0.4199529578397563
97_Matmul_BatchNorm_BiasAdd_Divide_Swish,0.5080237946296176,46,-1.058523482518178
98_KLDivLoss,0.5397204844220387,256,0.0
98_Matmul_AvgPool_GELU_Scale_Max,0.280857293064554,47,0.06575303113170361
99_Matmul_GELU_Softmax,0.1526398502372126,40,0.0
99_TripletMarginLoss,0.9990530827688793,44,0.9590909594581247
9_Matmul_Subtract_Multiply_ReLU,0.0,175,-0.28960167297295136
9_ResNet18,0.014686888738901116,155,0.037603044694053844
9_Tall_skinny_matrix_multiplication_,0.3658336875078311,45,-0.3920756637303374
